name	alternative-name	funding-programme	area	region	discipline	funded-2012-15	funding-2012-13	funding-2013-14	funding-2014-15	funding-total	grant-2015-16	grant-2016-17	grant-2107-18	grant-total	funding-source	cash-change-2014-15--2015-16	cash-change-2012-15--2015-18	real-change-2014-15--2015-16	real-change-2012-15--2015-18	notes	local-authority-name	website
Sound and Music	The Organisation for New music and Sound	NPO	London	London	Music	Yes	700599	701810.840808	704659.1604422412	2107069.001250241	704659	704659	704659	2113977	GIA	-2.2768772513226388E-7	3.2784871998307362E-3	-1.3806930658506137E-2	-4.4718130131466714E-2		Westminster	www.soundandmusic.org
sounduk Arts 	n/a	NPO	London	London	Music	Yes	1e5	100173.0807	100579.76095641601	300752.841656416	100580	100580	100580	301740	LOT	2.3766569110774909E-6	3.2822909939841179E-3	-1.3804362271290831E-2	-4.4714492832098711E-2		Waltham Forest	0
South Asian Arts-uk	SAA-UK	NPO	North	Yorkshire	Music	Yes	113e3	113306.23180800001	113766.48056885159	340072.7123768516	113766	113766	113766	341298	GIA	-4.2241690978638408E-6	3.6030165860253117E-3	-1.3810871961634935E-2	-4.440256339721417E-2		Leeds	www.saa-uk.org
South Connections Ltd	South Connections Carnival Costume Band	NPO	London	London	Combined arts	Yes	62e3	62107.310033999995	62439.7546127964	186547.06464679638	62055	62055	62055	186165	GIA	-6.1620135310004867E-3	-2.0480871544120696E-3	-1.9883642535503534E-2	-4.9781381340697997E-2		Lambeth	www.southconnections.co.uk
South East Dance	n/a	NPO	South East	South East	Dance	Yes	595e3	582629.355	570169.186062	1747798.541062	570169	570169	570169	1710507	GIA	-3.2632770156955915E-7	-2.1336292590873107E-2	-1.3807027936589169E-2	-6.8469307787847933E-2		Brighton and Hove	http://www.southeastdance.org.uk
South London Gallery	SLG	NPO	London	London	Visual arts	Yes	646752	731226.279168	811414.9556913791	2189393.234859379	811415	811415	811415	2434245	GIA	5.4606611011411564E-8	0.11183544428753449	-1.3806652261724839E-2	6.0269405322709434E-2		Southwark	www.southlondongallery.org
Southbank Centre Limited	Southbank Centre or SCL	NPO	London	London	Combined arts	Yes	19714455	19748576.461383	19845651.74985315	59308683.21123615	19186e3	19186e3	19186e3	57558e3	GIA	-3.3239107395806752E-2	-2.9518160182394313E-2	-4.6586890922886579E-2	-7.59403158527895E-2		Lambeth	www.southbankcentre.co.uk
Spare Tyre Theatre Company	n/a	NPO	London	London	Theatre	Yes	15e4	150259.62105	150869.64143462403	451129.262484624	150870	150870	150870	452610	GIA	2.3766569109328101E-6	3.2822909939841825E-3	-1.3804362271290829E-2	-4.4714492832098704E-2		Lambeth	www.sparetyre.org
Spike Island Art Space Ltd	n/a	NPO	South West	South West	Visual arts	Yes	152847	153111.077658	153732.9448429488	459691.0225009488	28e4	28e4	28e4	84e4	GIA	0.8213402487413719	0.8273143456880675	0.79619353919267433	0.73989605007334058		Bristol, City of	www.spikeisland.org.uk
Spitalfields Festival Ltd	Spitalfields Music	NPO	London	London	Music	Yes	46955	47036.304315	47318.292837908404	141309.5971529084	7e4	7e4	7e4	21e4	GIA	0.47934331104862804	0.48609863895346789	0.45891845271067833	0.41502295469471068		Tower Hamlets	www.spitalfieldsfestival.org.uk
Spread the Word	n/a	NPO	London	London	Literature	Yes	175e3	171361.575	167696.81943	514058.39443	167697	167697	167697	503091	GIA	1.076764607763948E-6	-2.1334919434903676E-2	-1.3805644216363185E-2	-6.8468000763871245E-2		Lewisham	www.spreadtheword.org.uk
Square Chapel Trust Ltd	Square Chapel Centre for the Arts	NPO	North	Yorkshire	Combined arts	Yes	155e3	155420.05247999998	156050.9940212412	466471.04650124116	156051	156051	156051	468153	GIA	3.8312853010756144E-8	3.6056975269404337E-3	-1.3806668330519899E-2	-4.440002654659967E-2		Calderdale	www.squarechapel.co.uk
St Edmunds Arts Trust Ltd	n/a	NPO	South West	South West	Combined arts	Yes	257755	258200.76674700002	259248.74189584437	775204.5086428444	259249	259249	259249	777747	GIA	9.9558498814089103E-7	3.2797685369590616E-3	-1.380572427515968E-2	-4.4716910569391928E-2		Wiltshire	www.salisburyartscentre.co.uk
Stagetext	n/a	NPO	London	London	Theatre	Yes	154139	154405.591956	155032.3556266464	463576.9475826464	218773	218773	218773	656319	GIA	0.41114413901350855	0.41577143432696595	0.39166088660109327	0.34804125183817058		Tower Hamlets	www.stagetext.org
Stan's Cafe Theatre	Stans Cafe	NPO	Midlands	West Midlands	Theatre	Yes	16e4	144327.57292799998	156864.5631623616	461192.13609036163	156865	156865	156865	470595	GIA	2.7848076684855374E-6	2.0388170512508613E-2	-1.3803959755750984E-2	-2.8610564990131319E-2		Birmingham	www.stanscafe.co.uk
State Of Emergency Productions	State of Emergency	NPO	South West	South West	Dance	Yes	24e4	240415.39367999998	241391.42629539839	721806.8199753984	241391	241391	241391	724173	GIA	-1.7659922927983064E-6	3.2781347572779693E-3	-1.3808447724154555E-2	-4.4718450235439217E-2		Taunton Deane	www.stateofemergencyltd.com
Stephen Joseph Theatre	Scarborough Theatre Trust Ltd	NPO	North	Yorkshire	Theatre	Yes	632822	634537.22409	637714.5901257852	1905073.8142157854	637715	637715	637715	1913145	GIA	6.4272359631903098E-7	4.2366787701279213E-3	-1.3806072264697785E-2	-4.3792964217876269E-2		Scarborough	www.sjt.uk.com
Stockton Borough Council	Stockton International Riverside Festival	NPO	North	North East	Combined arts	Yes	2e5	200542.0032	201355.96675845003	601897.9699584501	201356	201356	201356	604068	GIA	1.6508847742427167E-7	3.6053121124494528E-3	-1.3806543305249096E-2	-4.4400398614388624E-2		Stockton-on-Tees	www.sirf.co.uk
Stoke-On-Trent and North Staffordshire Theatre Trust Limited	New Vic Theatre	NPO	Midlands	West Midlands	Theatre	Yes	927028	928632.85515	932401.0239035772	2788061.8790535773	932401	932401	932401	2797203	GIA	-2.5636584073211588E-8	3.2786650164040435E-3	-1.3806731397025653E-2	-4.4717956144074561E-2		Newcastle-under-Lyme	www.newvictheatre.org.uk
Stopgap Dance Company	Stopgap	NPO	South East	South East	Dance	Yes	200000.2	195841.8	191653.50792	587495.50792	191654	191654	191654	574962	GIA	2.5675501864633399E-6	-2.1333793622310908E-2	-1.3804174013622885E-2	-6.8466935736295906E-2		Waverley	www.stopgapdance.com
Stratford Arts Trust	formally Stratford Circus	NPO	London	London	Combined arts	Yes	18e4	300519.2421	301738	782257.2420999999	301738	301738	301738	905214	GIA	0	0.15718200009234545	-1.3806706114398486E-2	0.10539152990091392		Newham	www.stratford-circus.com
Streetwise Opera	n/a	NPO	London	London	Music	Yes	1e5	100173.0807	100579.76095641601	300752.841656416	100580	100580	100580	301740	GIA	2.3766569110774909E-6	3.2822909939841179E-3	-1.3804362271290831E-2	-4.4714492832098711E-2		Westminster	www.streetwiseopera.org
Stroud Valleys Artspace Limited	n/a	NPO	South West	South West	Visual arts	Yes	68550	68668.98954299999	68947.34947422	206166.33901722002	68947	68947	68947	206841	GIA	-5.0687114539319567E-6	3.2724109376731617E-3	-1.3811704843643025E-2	-4.4723907310614465E-2		Stroud	www.sva.org.uk
Studio 3 Arts	n/a	NPO	London	London	Combined arts	Yes	85e3	85147.11859499999	85492.79681295359	255639.9154079536	85493	85493	85493	256479	GIA	2.3766569113072778E-6	3.2822909939841292E-3	-1.3804362271290586E-2	-4.4714492832098642E-2		Barking and Dagenham	www.studio3arts.org.uk
Studio Voltaire	n/a	NPO	London	London	Visual arts	Yes	7e4	68544.63	67078.727772	205623.35777200002	67079	67079	67079	201237	GIA	4.0583357652061193E-6	-2.1332001478468771E-2	-1.3802703810882409E-2	-6.8465223337920794E-2		Lambeth	www.studiovoltaire.org
Sunshine International Arts	S.i.A	NPO	London	London	Combined arts	No	0	0	0	0	75e3	75e3	75e3	225e3	GIA	NEW	NEW	NEW	NEW	New organisation to the NPO portfolio	Haringey	www.sunshineiarts.co.uk
Swindon Dance	n/a	NPO	South West	South West	Dance	Yes	205014	205368.524361	206201.92570620717	616584.4500672072	206200	206200	206200	618600	GIA	-9.3389341567734091E-6	3.2688951733587986E-3	-1.3815916108635919E-2	-4.472726927522018E-2		Swindon	www.swindondance.org.uk
Take Art Ltd	n/a	NPO	South West	South West	Combined arts	Yes	159500	159776.55332099998	160424.5270719756	479701.0803929756	160425	160425	160425	481275	GIA	2.947978298727937E-6	3.281042447799028E-3	-1.3803798837969566E-2	-4.4715689389440635E-2		South Somerset	www.takeart.org
Talawa Theatre Company	n/a	NPO	London	London	Theatre	Yes	37e4	370640.39859	372144.1572711996	1112784.5558611997	372144	372144	372144	1116432	LOT	-4.2260827304145176E-7	3.2777630850362146E-3	-1.3807122887843149E-2	-4.4718821192707356E-2		Hackney	www.talawa.com
Talking Birds Theatre Company Limited	Talking Birds	NPO	Midlands	West Midlands	Theatre	Yes	66841	66956.353002	67228.21750817761	201025.57051017764	67228	67228	67228	201684	GIA	-3.2353702904767914E-6	3.2753519273759474E-3	-1.380989681488224E-2	-4.4721129849215523E-2		Coventry	http://www.talkingbirds.co.uk
Tamasha Theatre Company Ltd	n/a	NPO	London	London	Theatre	Yes	312653.6	313194.123396	314465.075795136	940312.7991911359	314465	314465	314465	943395	LOT	-2.4102878767383708E-7	3.2778462778720219E-3	-1.380694381537252E-2	-4.4718749637873138E-2		Tower Hamlets	www.tamasha.org.uk
Tangle Limited	n/a	NPO	South West	South West	Theatre	No	0	0	0	0	85e3	85e3	85e3	255e3	LOT	NEW	NEW	NEW	NEW	New organisation to the NPO portfolio	South Somerset	www.tangleinternational.com
Tara	Tara Arts Group Ltd	NPO	London	London	Theatre	Yes	206e3	206356.54624199998	207193.7326096932	619550.2788516931	207194	207194	207194	621582	GIA	1.2905327947824345E-6	3.2793482912679035E-3	-1.3805433399610656E-2	-4.4717313147885962E-2		Wandsworth	www.tara-arts.com
Tavaziva Dance Company	n/a	NPO	London	London	Dance	Yes	177973.8	178281.64500299998	179005.33466481962	535260.7796678196	188505	188505	188505	565515	GIA	5.3069174463253453E-2	5.6522393348072339E-2	3.8529757853307263E-2	5.9786045207402818E-3		Haringey	www.tavazivadance.com
Tete a Tete Productions Ltd	Tete a Tete Productions Ltd	NPO	London	London	Music	Yes	1e5	100173.0807	100579.76095641601	300752.841656416	100580	100580	100580	301740	GIA	2.3766569110774909E-6	3.2822909939841179E-3	-1.3804362271290831E-2	-4.4714492832098711E-2		Richmond upon Thames	www.tete-a-tete.org.uk
Thames Festival Trust	The Mayor's Thames Festival	NPO	London	London	Combined arts	Yes	15e4	150259.62105	150869.64143462403	451129.262484624	15e4	15e4	15e4	45e4	GIA	-5.7641910350855708E-3	-2.5031905011093829E-3	-1.9491312657875171E-2	-5.0223198282062759E-2		Southwark	www.thamesfestival.org
The Albany	n/a	NPO	London	London	Combined arts	Yes	175e3	175302.891225	176014.58167372798	526317.472898728	176015	176015	176015	528045	GIA	2.3766569112635091E-6	3.2822909939842011E-3	-1.3804362271290747E-2	-4.4714492832098766E-2		Lewisham	www.thealbany.org.uk
The Anvil Trust Ltd	n/a	NPO	South West	South West	Music	Yes	145e3	141985.305	138948.79324199999	425934.098242	138949	138949	138949	416847	GIA	1.4880158020135927E-6	-2.1334516958153995E-2	-1.3805238643193361E-2	-6.8467617670636652E-2		Basingstoke and Deane	www.anvilarts.org.uk
The Artangel Trust	n/a	NPO	London	London	Visual arts	Yes	754e3	736365.168	745532.1458088	2235897.3138088	852333	852333	852333	2556999	GIA	0.14325452603433447	0.1436120005190267	0.12746994677942255	8.8770508215130328E-2	Technical uplift - Legacy of 6 year funding agreement.	Camden	www.artangel.org.uk
The Arts Catalyst	n/a	NPO	London	London	Visual arts	Yes	266852	267314.26490999997	268399.2386314848	802565.5035414847	13e4	13e4	13e4	39e4	GIA	-0.51564691217886993	-0.51405835625996243	-0.52233423291801762	-0.53730568612481633		Southwark	www.artscatalyst.org
The Ashton Group Theatre	n/a	NPO	North	North West	Theatre	Yes	7e4	70121.15649	80494.4733264	220615.6298164	80494	80494	80494	241482	GIA	-5.880234759420338E-6	9.4582465444380967E-2	-1.3812505162484622E-2	4.3207561462910861E-2		Barrow-in-Furness	www.ashtongroup.co.uk
The Bike Shed Theatre Ltd	n/a	NPO	South West	South West	Theatre	No	0	0	0	0	75e3	75e3	75e3	225e3	GIA	NEW	NEW	NEW	NEW	New organisation to the NPO portfolio	Exeter	www.bikeshedtheatre.co.uk
The Bluecoat	n/a	NPO	North	North West	Combined arts	Yes	484082	484919.964144	486887.1124629036	1455889.0766069037	486887	486887	486887	1460661	GIA	-2.3098352929672727E-7	3.2776696176729054E-3	-1.380693390880597E-2	-4.471891224765482E-2		Liverpool	www.thebluecoat.org.uk
The Brewery, Kendal	Brewery Arts Centre	NPO	North	North West	Combined arts	Yes	32e4	320553.85824000003	321854.2767929916	962408.1350329916	321854	321854	321854	965562	GIA	-8.5999476027902003E-7	3.2770555985587534E-3	-1.3807554235463808E-2	-4.4719497499712303E-2		South Lakeland	www.breweryarts.co.uk
The Bristol Centre for the Advancement of Architecture Ltd	n/a	NPO	South West	South West	Visual arts	Yes	52968	53059.418874	53274.883864062	159302.302738062	53275	53275	53275	159825	GIA	2.1799378914614843E-6	3.2811657644238349E-3	-1.3804556274268881E-2	-4.4715589879397055E-2		Bristol, City of	www.architecturecentre.co.uk
The Castle (Wellingborough) Limited	The Castle Wellingborough	NPO	Midlands	East Midlands	Combined arts	Yes	42e3	42072.693893999996	42243.3079481868	126316.00184218679	42243	42243	42243	126729	GIA	-7.2898691356003547E-6	3.2695632523992808E-3	-1.3813895334453163E-2	-4.472664174956107E-2		Wellingborough	www.thecastle.org.uk
The Children's Bookshow	n/a	NPO	London	London	Literature	Yes	7e4	68544.63	67078.727772	205623.35777200002	67079	67079	67079	201237	LOT	4.0583357652061193E-6	-2.1332001478468771E-2	-1.3802703810882409E-2	-6.8465223337920794E-2		Brent	www.thechildrensbookshow.com
The Courtyard Trust	The Courtyard Centre for the Arts	NPO	Midlands	West Midlands	Combined arts	Yes	211634	212000.706918	212860.9268388876	636495.6337568876	212861	212861	212861	638583	GIA	3.4370381400198847E-7	3.2794667118009571E-3	-1.380636715600192E-2	-4.471718327458056E-2		Herefordshire, County of	www.courtyard.org.uk
The DanceXchange Limited	DanceXchange; dx	NPO	Midlands	West Midlands	Dance	Yes	586726	587741.8051890001	590126.0658417096	1764593.8710307097	760126	760126	760126	2280378	GIA	0.2880739286034007	0.29229622602509536	0.27028987041755498	0.2304730626891246		Birmingham	www.dancexchange.org.uk / www.idfb.co.uk / westmidlandsdance.com
The Drawing Room	n/a	NPO	London	London	Visual arts	Yes	5e4	50086.54035	50288.922210668396	150375.46256066838	50289	50289	50289	150867	GIA	1.5468482557363933E-6	3.2687343464250841E-3	-1.3805180623021959E-2	-4.4727527218897258E-2		Southwark	www.drawingroom.org.uk
The Dukes Playhouse Limited	The Dukes	NPO	North	North West	Theatre	Yes	254713.8	255154.447548	256189.9519094412	766058.1994574412	256190	256190	256190	768570	GIA	1.8771446121015442E-7	3.2788638569990537E-3	-1.3806520991655545E-2	-4.4717771048691173E-2		Lancaster	www.dukes-lancaster.org
The Forge	n/a	NPO	North	North East	Combined arts	Yes	64e3	60710.958	57496.052376	182207.010376	57496	57496	57496	172488	GIA	-9.1094949714326526E-7	-5.3340485395945901E-2	-1.3807604486683479E-2	-9.9336487090998557E-2		County Durham	www.intheforge.com
The Grundy Art Gallery	n/a	NPO	North	North West	Visual arts	Yes	45e3	44064.405	43122.039282	132186.444282	43122	43122	43122	129366	GIA	-9.1094949710108302E-7	-2.1336864739193794E-2	-1.3807604486683655E-2	-6.8469852381171731E-2		Blackpool	www.grundyartgallery.com
The Hall for Cornwall Trust	n/a	NPO	South West	South West	Combined arts	Yes	244555	244978.50762000002	376282	735505.4527546865	376282	376282	376282	1128846	GIA	0	0.53478943734833817	-1.3806706114398416E-2	0.24531000756211521	Hall for Cornwall merged with The Works! In 2014. The 2015/18 award is based on their combined 2014/15 awards.	Cornwall	www.hallforcornwall.co.uk
The Hepworth Wakefield	n/a	NPO	North	Yorkshire	Visual arts	Yes	9e5	902439.0144	906101	2708540.0143999998	906101	906101	906101	2718303	GIA	0	3.6045196113386421E-3	-1.3806706114398418E-2	-4.4401159429853433E-2		Wakefield	http://www.hepworthwakefield.org/
The Koestler Trust	n/a	NPO	London	London	Literature	No	0	0	0	0	75e3	75e3	75e3	225e3	GIA	NEW	NEW	NEW	NEW	New organisation to the NPO portfolio	Hammersmith and Fulham	www.koestlertrust.org.uk
The Literary Consultancy Ltd	n/a	NPO	London	London	Literature	Yes	4e4	39168.36	38330.701584	117499.06158400001	73985	73985	73985	221955	GIA	0.93017599320130395	0.88899380988949006	0.90352662051410648	0.79801876578141984		Islington	www.literaryconsultancy.co.uk
The Live Theatre Winchester Trust	Hat Fair, Theatre Royal Winchester	NPO	South West	South West	Theatre	Yes	0	137089.26	134157.7718	271247.0318	134158	134158	134158	402474	GIA	1.700982335577919E-6	0.48379135185065647	-1.3805028617026061E-2	0.42758538813685887	This organisations has only been NPO funded by Arts Council England since 2013/14 - therefore they show a large increase when comparing 12/15 to 15/18.	Winchester	http://www.hatfair.co.uk
The London Design Festival Limited	n/a	NPO	London	London	Visual arts	Yes	74108	74309.233383	74610.71063325599	223027.94401625602	74611	74611	74611	223833	GIA	3.8783539461234877E-6	3.6096641938523221E-3	-1.3802881307745421E-2	-4.4396230354470601E-2		Camden	www.londondesignfestival.com
The Lowry Centre Limited	The Lowry Centre Trust	NPO	North	North West	Combined arts	Yes	1003422.4	1005159.017709	1009237.7900313239	3017819.2077403236	8e5	8e5	8e5	24e5	GIA	-0.207322587499255	-0.20472373101599184	-0.21826685157717465	-0.24276956744423542		Salford	www.thelowry.com
The Maltings Theatre & Arts Centre	The Maltings (Berwick) Trust	NPO	North	North East	Combined arts	Yes	175200	175674.990645	176387.34774663238	527262.3383916324	176387	176387	176387	529161	GIA	-1.9714941962932265E-6	3.6009808972119594E-3	-1.3808650388753858E-2	-4.4404540600413531E-2		Northumberland	www.maltingsberwick.co.uk
The Met	Bury Metropolitan Arts Association	NPO	North	North West	Combined arts	Yes	1e5	100173.0807	100579.76095641601	300752.841656416	100580	100580	100580	301740	GIA	2.3766569110774909E-6	3.2822909939841179E-3	-1.3804362271290831E-2	-4.4714492832098711E-2		Bury	www.themet.biz
The Midi Music Company	MMC	NPO	London	London	Music	Yes	116530	116731.50489	117234.450794664	350495.95568466396	117234	117234	117234	351702	GIA	-3.8452405494939266E-6	3.440964997670614E-3	-1.3810498264841937E-2	-4.4561778056883473E-2		Lewisham	www.themidimusiccompany.co.uk
The Mighty Creatives	TMC	NPO (Bridge)	Midlands	East Midlands	Not artform specific	Yes	924188	923220	907870.3331573568	2755278.333157357	862477	862477	862477	2587431	LOT	-4.9999797878062198E-2	-6.0918467342286793E-2	-6.3116171477378871E-2	-0.10598995765961737		Leicester	www.themightycreatives.com
The Ministry Of Stories	n/a	NPO	London	London	Literature	Yes	6e4	58752.54	57496.052376	176248.59237600002	89113	89113	89113	267339	GIA	0.54989771153745415	0.51682913546153164	0.52849872932687791	0.44377775923119273		Hackney	www.ministryofstories.org
The National Youth Jazz Collective	n/a	NPO	London	London	Music	Yes	0	128880	128880	257760	124690	124690	124690	374070	LOT	-3.2510862818125388E-2	0.45123370577281191	-4.58687010040685E-2	0.39641782334259512	NYMO activity has only been funded by Arts Council England since 2013/14 - therefore NPOs funded to deliver NYMO activity show a large increase when comparing 12/15 to 15/18.	Greenwich	www.nyjc.co.uk
The National Youth Jazz Orchestra Ltd	NYJO	NPO	London	London	Music	No	0	0	0	0	125e3	125e3	125e3	375e3	GIA	NEW	NEW	NEW	NEW	New organisation to the NPO portfolio	Westminster	www.nyjo.org.uk
The New Art Exchange Ltd	NAE	NPO	Midlands	East Midlands	Visual arts	Yes	5e5	500865.4035	502897.84651454043	1503763.2500145405	502898	502898	502898	1508694	GIA	3.0520206167187121E-7	3.2789403421129063E-3	-1.3806405126171947E-2	-4.4717695818247173E-2		Nottingham	www.nae.org.uk
The New Carnival Company CIC	n/a	NPO	South West	South West	Combined arts	Yes	8e4	78336.72	76661.403168	234998.12316800002	76661	76661	76661	229983	GIA	-5.2590741017464318E-6	-2.1341120092328192E-2	-1.381189257800961E-2	-6.84739027940163E-2		Isle of Wight	www.thenewcarnivalcompany.com
The Newtown Cultural Project Limited	The Drum	NPO	Midlands	West Midlands	Combined arts	Yes	589544	590564.864736	592960.6212238463	1773069.4859598465	592961	592961	592961	1778883	GIA	6.3878804107461456E-7	3.2787852287731087E-3	-1.3806076145916007E-2	-4.4717845642009264E-2		Birmingham	www.the-drum.org.uk
The Photographers' Gallery	n/a	NPO	London	London	Visual arts	Yes	904997	903904.890273	902265.4263182363	2711167.3165912363	902265	902265	902265	2706795	GIA	-4.7249758645531082E-7	-1.6127062924075116E-3	-1.3807172088349634E-2	-4.943351417621316E-2		Westminster	www.photonet.org.uk
The Poetry Archive	n/a	NPO	South West	South West	Literature	Yes	106e3	106183.46554199999	106613.9716532772	318797.4371952772	106614	106614	106614	319842	GIA	2.6588187608505103E-7	3.2765721516229422E-3	-1.3806443903475261E-2	-4.4719973827855836E-2		Stroud	0
The Poetry School	n/a	NPO	London	London	Literature	Yes	11e4	107712.99	105409.42935600001	323122.419356	140409	140409	140409	421227	GIA	0.33203453294292767	0.303614279812362	0.31364352361235487	0.24083145544049284		Lambeth	www.poetryschool.com
The Poetry Society	n/a	NPO	London	London	Literature	Yes	36e4	352515.24	354558.989652	1067074.2296520001	354559	354559	354559	1063677	GIA	2.9185552428838676E-8	-3.183686343084162E-3	-1.3806677331802363E-2	-5.1011334166777861E-2		Camden	www.poetrysociety.org.uk or www.poetryclass.net
The Poetry Translation Centre Ltd	n/a	NPO	London	London	Literature	Yes	13e4	127297.17	124574.78014799999	381871.950148	124575	124575	124575	373725	LOT	1.7648194903340408E-6	-2.1334246060341712E-2	-1.3804965661252135E-2	-6.8467359819421383E-2		Islington	www.poetrytranslation.org
The Point	Eastleigh Borough Council	NPO	South West	South West	Combined arts	No	0	0	0	0	125e3	125e3	125e3	375e3	GIA	NEW	NEW	NEW	NEW	New organisation to the NPO portfolio	Eastleigh	www.thepointeastleigh.co.uk
The Pound Arts Trust Ltd	The Pound arts centre; Corsham Festival; Rural Arts Wiltshire; Rural Arts South Gloucestershire	NPO	South West	South West	Combined arts	Yes	75e3	75129.810525	75434.82071731202	225564.631242312	75435	75435	75435	226305	GIA	2.3766569109328101E-6	3.2822909939841825E-3	-1.3804362271290829E-2	-4.4714492832098704E-2		Wiltshire	www.poundarts.org.uk
The Reading Agency	n/a	NPO	London	London	Literature	Yes	315e3	332931.06	335393.63886	983324.6988600001	335394	335394	335394	1006182	GIA	1.076764607763948E-6	2.324491713316983E-2	-1.3805644216363185E-2	-2.5321959237267367E-2		Islington	http://www.readingagency.co.uk
The Robert Pacitti Company Limited	Pacitti Company	NPO	South East	East	Theatre	Yes	281940	320493.147282	214853.165053716	817286.3123357159	266708	266708	266708	800124	GIA	0.24135010965893686	-2.0999143233743668E-2	0.22421115350979962	-6.944968421162305E-2	Technical uplift - Adjusted to include festival.	Ipswich	www.pacitticompany.com
The Roundhouse	Roundhouse Trust	NPO	London	London	Combined arts	Yes	969097	862021	974713	2805831	974713	974713	974713	2924139	GIA	0	4.2165048429502701E-2	-1.3806706114398539E-2	-7.6988518096260576E-3		Camden	www.roundhouse.org.uk
The Southampton Nuffield Theatre Trust	n/a	NPO	South West	South West	Theatre	Yes	577535	565527.4698150001	553433.043482886	1696495.5132978861	974349	974349	974349	2923047	GIA	0.76055443648284804	0.72299129416367913	0.73624697877992906	0.64001102807507182	Completion of grant novation between The Southampton Nuffield Theatre Trust and Southampton City Council pending	Southampton	http://www.nuffieldtheatre.co.uk
The Spark Arts for Children	n/a	NPO	Midlands	East Midlands	Combined arts	Yes	80400	80538.96104099999	80866.2811317648	241805.2421727648	80866	80866	80866	242598	GIA	-3.4765017120426514E-6	3.2784972737224705E-3	-1.3810134617073042E-2	-4.4718092635819141E-2		Leicester	www.thesparkarts.co.uk
The Stables	Wavendon Allmusic Plan Ltd	NPO	South East	South East	Music	Yes	11e4	337827.105	379222.8795862248	827049.9845862248	379223	379223	379223	1137669	GIA	3.1752771704578741E-7	0.37557465836744885	-1.3806392970693285E-2	0.31871738446314996		Milton Keynes	http://www.stables.org
The University of Warwick	Warwick Arts Centre	NPO	Midlands	West Midlands	Combined arts	Yes	489277.6	490124.459979	492113.50362388196	1471515.563602882	492114	492114	492114	1476342	GIA	1.008661852164942E-6	3.2799084946821119E-3	-1.3805711378843889E-2	-4.4716771275212362E-2		Coventry	www.warwickartscentre.co.uk
The Watermill Theatre Ltd	n/a	NPO	South East	South East	Theatre	Yes	47e4	460228.23	450385.743612	1380613.973612	450386	450386	450386	1351158	GIA	5.6926313413830702E-7	-2.1335416108339451E-2	-1.3806144710913182E-2	-6.8468473517224737E-2		West Berkshire	http://www.watermill.org.uk
The Wigmore Hall Trust	n/a	NPO	London	London	Music	Yes	335394	335974.441572	337986.7108221576	1009355.1523941576	337987	337987	337987	1013961	GIA	8.5558938597492184E-7	4.5631585620952916E-3	-1.3805862337883536E-2	-4.3482157999330681E-2		Westminster	www.wigmore-hall.org.uk
The Wiltshire Music Centre Trust Ltd	n/a	NPO	South West	South West	Music	Yes	101089	101263.919526	101675.06075417879	304027.9802801788	101675	101675	101675	305025	GIA	-5.9753275129347416E-7	3.2793682966364376E-3	-1.3807295397190547E-2	-4.471727663393138E-2		Wiltshire	www.wiltshiremusic.org.uk
The Writing Squad	n/a	NPO	North	Yorkshire	Literature	Yes	1e5	97920.9	97743.2890392	295664.18903919996	97743	97743	97743	293229	GIA	-2.9571257816102951E-6	-8.2363340894053907E-3	-1.380962241201336E-2	-5.5871271483718385E-2		Bradford	www.writingsquad.com
Theatre Alibi	n/a	NPO	South West	South West	Theatre	Yes	240203.8	240620.04836100002	241596.49554887283	722420.3439098728	241597	241597	241597	724791	LOT	2.0879902501228153E-6	3.2815466924654385E-3	-1.3804646952416172E-2	-4.471519900053425E-2		Exeter	www.theatrealibi.co.uk
Theatre Bristol Ltd	n/a	NPO	South West	South West	Theatre	Yes	106368	106551.648126	106984.8211911024	319904.4693171024	106985	106985	106985	320955	GIA	1.6713482867193137E-6	3.2838887344717703E-3	-1.3805057841926347E-2	-4.4712963034251048E-2		Bristol, City of	www.theatrebristol.net
Theatre Centre	n/a	NPO	London	London	Theatre	Yes	34e4	340588.47437999997	341970.2289842748	1022558.7033642748	24e4	24e4	24e4	72e4	LOT	-0.29818452117059524	-0.29588394521394218	-0.30787428123332872	-0.32956870118938825		Hackney	www.theatre-centre.co.uk
Theatre Company Blah Blah Blah	n/a	NPO	North	Yorkshire	Theatre	Yes	108e3	107712.99	107325.96443519999	323038.95443519996	107326	107326	107326	321978	LOT	3.3137181853899127E-7	-3.2842925617281461E-3	-1.380637931773324E-2	-5.1046418291331094E-2		Leeds	www.blahs.co.uk
Theatre de Complicite Education Ltd	n/a	NPO	London	London	Theatre	Yes	361527.4	362152.614978	363622.2840415368	1087302.2990195367	363622	363622	363622	1090866	GIA	-7.8114447123613985E-7	3.2775622599867833E-3	-1.3807476473837581E-2	-4.4719015670535232E-2		Camden	www.complicite.org
Theatre Hullabaloo	n/a	NPO	North	North East	Theatre	Yes	208e3	207748.98144	207371.9703720588	623120.9518120588	250318	250318	250318	750954	LOT	0.20709659820895315	0.2051496548402007	0.19043057022579216	0.14742532397563049		Darlington	www.theatrehullabaloo.org.uk
Theatre In The Mill	n/a	NPO	North	Yorkshire	Theatre	Yes	4e4	40108.40064	40271.19335169	120379.59399169001	40271	40271	40271	120813	GIA	-4.8012406365525928E-6	3.6003278789917582E-3	-1.3811441065716629E-2	-4.4405144435727018E-2		Bradford	www.brad.ac.uk/admin/theatre
