name	alternative-name	funding-programme	area	region	discipline	funded-2012-15	funding-2012-13	funding-2013-14	funding-2014-15	funding-total	grant-2015-16	grant-2016-17	grant-2107-18	grant-total	funding-source	cash-change-2014-15--2015-16	cash-change-2012-15--2015-18	real-change-2014-15--2015-16	real-change-2012-15--2015-18	notes	local-authority-name	website
Chol Theatre	Chol International Arts	NPO	North	Yorkshire	Theatre	No	0	0	0	0	75e3	75e3	75e3	225e3	GIA	NEW	NEW	NEW	NEW	New organisation to the NPO portfolio	Kirklees	www.choltheatre.co.uk
Chrysalis Arts Development Ltd	n/a	NPO	North	Yorkshire	Visual arts	Yes	1e5	100271.0016	100677.5042454552	300948.5058454552	100678	100678	100678	302034	GIA	4.9241838930487647E-6	3.6069099313030288E-3	-1.380184991726522E-2	-4.4398908775866421E-2		Craven	www.chrysalisarts.com
Cinderford Artspace	n/a	NPO	South West	South West	Combined arts	Yes	47672	47754.064512	47947.8746114256	143373.9391234256	47948	47948	47948	143844	GIA	2.6151018249926638E-6	3.2785656824964363E-3	-1.3804127118515811E-2	-4.4718110823455996E-2		Forest of Dean	www.artspacecinderford.org
City Arts (Nottingham) Ltd	City Arts	NPO	Midlands	East Midlands	Combined arts	Yes	53100	53191.612089	53408.0830520664	159699.6951410664	53408	53408	53408	160224	GIA	-1.5550467580196591E-6	3.2830673751160257E-3	-1.3808239691082679E-2	-4.4713725371239292E-2		Nottingham	www.city-arts.org.uk/
City Of Birmingham Symphony Orchestra	CBSO	NPO	Midlands	West Midlands	Music	Yes	2168416.2	2172169.53261	2180983.380765714	6521569.113375714	2180983	2180983	2180983	6542949	GIA	-1.7458441800840114E-7	3.2783347462247824E-3	-1.3806878288380571E-2	-4.4718273329725944E-2		Birmingham	www.cbso.co.uk
Clean Break Theatre Company	Clean Break	NPO	London	London	Theatre	Yes	214949	215321.20463700002	216194.73960915598	646464.9442461559	216195	216195	216195	648585	LOT	1.2044272885279327E-6	3.2794597336075091E-3	-1.3805518316283672E-2	-4.4717202418827852E-2		Camden	www.cleanbreak.org.uk
Clod Ensemble	n/a	NPO	London	London	Theatre	Yes	12e4	120207.69683999999	120695.71314769919	360903.4099876992	120696	120696	120696	362088	GIA	2.3766569112221718E-6	3.282290993984215E-3	-1.3804362271290732E-2	-4.4714492832098773E-2		Hackney	www.clodensemble.com
Colchester Arts Centre	n/a	NPO	South East	East	Combined arts	Yes	199e3	194862.591	190695.2403804	584557.8313804	190695	190695	190695	572085	GIA	-1.2605474553347454E-6	-2.1337206878139177E-2	-1.3807949257845512E-2	-6.8470178042505825E-2		Colchester	www.colchesterartscentre.com
Colchester Mercury Theatre Limited	n/a	NPO	South East	East	Theatre	Yes	772899	774237.055284	777378.2509523267	2324514.3062363267	777378	777378	777378	2332134	GIA	-3.2281881617502392E-7	3.2779724105077772E-3	-1.3807024476150162E-2	-4.4718619419029118E-2		Colchester	www.mercurytheatre.co.uk
Collar & Tie Limited	C&T	NPO	Midlands	West Midlands	Theatre	Yes	70972	71094.49023600001	71383.2655598832	213449.75579588322	71383	71383	71383	214149	GIA	-3.7201980201280375E-6	3.2759194383218298E-3	-1.3810374948737845E-2	-4.4720578646551677E-2		Worcester	http://www.candt.org
